Rezultati: 
Rezultat [natjecatelj=Natjecatelj [id=M14:2, godiste=14, spol=M, ukupanBrojBodova=40], redniBroj=1, vrijeme=55, brojBodova=0, diskvalificiran=true]
Rezultat [natjecatelj=Natjecatelj [id=M14:15, godiste=14, spol=M, ukupanBrojBodova=6], redniBroj=6, vrijeme=82, brojBodova=0, diskvalificiran=true]
Rezultat [natjecatelj=Natjecatelj [id=M14:16, godiste=14, spol=M, ukupanBrojBodova=45], redniBroj=7, vrijeme=244, brojBodova=25, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M14:6, godiste=14, spol=M, ukupanBrojBodova=28], redniBroj=3, vrijeme=252, brojBodova=20, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M14:3, godiste=14, spol=M, ukupanBrojBodova=15], redniBroj=2, vrijeme=546, brojBodova=15, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M14:13, godiste=14, spol=M, ukupanBrojBodova=32], redniBroj=5, vrijeme=735, brojBodova=12, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M14:19, godiste=14, spol=M, ukupanBrojBodova=45], redniBroj=9, vrijeme=742, brojBodova=10, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M14:9, godiste=14, spol=M, ukupanBrojBodova=8], redniBroj=4, vrijeme=857, brojBodova=8, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M14:20, godiste=14, spol=M, ukupanBrojBodova=31], redniBroj=10, vrijeme=943, brojBodova=6, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M14:18, godiste=14, spol=M, ukupanBrojBodova=46], redniBroj=8, vrijeme=989, brojBodova=4, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M14:13, godiste=14, spol=M, ukupanBrojBodova=32], redniBroj=7, vrijeme=24, brojBodova=0, diskvalificiran=true]
Rezultat [natjecatelj=Natjecatelj [id=M14:2, godiste=14, spol=M, ukupanBrojBodova=40], redniBroj=1, vrijeme=128, brojBodova=25, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M14:19, godiste=14, spol=M, ukupanBrojBodova=45], redniBroj=11, vrijeme=205, brojBodova=20, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M14:20, godiste=14, spol=M, ukupanBrojBodova=31], redniBroj=12, vrijeme=271, brojBodova=15, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M14:5, godiste=14, spol=M, ukupanBrojBodova=37], redniBroj=3, vrijeme=343, brojBodova=12, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M14:11, godiste=14, spol=M, ukupanBrojBodova=41], redniBroj=5, vrijeme=489, brojBodova=10, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M14:16, godiste=14, spol=M, ukupanBrojBodova=45], redniBroj=8, vrijeme=532, brojBodova=8, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M14:12, godiste=14, spol=M, ukupanBrojBodova=6], redniBroj=6, vrijeme=656, brojBodova=6, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M14:7, godiste=14, spol=M, ukupanBrojBodova=41], redniBroj=4, vrijeme=695, brojBodova=4, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M14:18, godiste=14, spol=M, ukupanBrojBodova=46], redniBroj=10, vrijeme=698, brojBodova=2, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M14:17, godiste=14, spol=M, ukupanBrojBodova=15], redniBroj=9, vrijeme=857, brojBodova=1, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M14:4, godiste=14, spol=M, ukupanBrojBodova=2], redniBroj=2, vrijeme=973, brojBodova=0, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M14:11, godiste=14, spol=M, ukupanBrojBodova=41], redniBroj=8, vrijeme=116, brojBodova=25, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M14:10, godiste=14, spol=M, ukupanBrojBodova=32], redniBroj=7, vrijeme=117, brojBodova=20, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M14:8, godiste=14, spol=M, ukupanBrojBodova=19], redniBroj=6, vrijeme=188, brojBodova=15, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M14:17, godiste=14, spol=M, ukupanBrojBodova=15], redniBroj=11, vrijeme=306, brojBodova=12, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M14:16, godiste=14, spol=M, ukupanBrojBodova=45], redniBroj=10, vrijeme=322, brojBodova=10, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M14:18, godiste=14, spol=M, ukupanBrojBodova=46], redniBroj=12, vrijeme=325, brojBodova=8, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M14:14, godiste=14, spol=M, ukupanBrojBodova=6], redniBroj=9, vrijeme=426, brojBodova=6, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M14:6, godiste=14, spol=M, ukupanBrojBodova=28], redniBroj=4, vrijeme=430, brojBodova=4, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M14:7, godiste=14, spol=M, ukupanBrojBodova=41], redniBroj=5, vrijeme=457, brojBodova=2, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M14:4, godiste=14, spol=M, ukupanBrojBodova=2], redniBroj=3, vrijeme=537, brojBodova=1, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M14:1, godiste=14, spol=M, ukupanBrojBodova=16], redniBroj=1, vrijeme=714, brojBodova=0, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M14:3, godiste=14, spol=M, ukupanBrojBodova=15], redniBroj=2, vrijeme=952, brojBodova=0, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M14:12, godiste=14, spol=M, ukupanBrojBodova=6], redniBroj=9, vrijeme=38, brojBodova=0, diskvalificiran=true]
Rezultat [natjecatelj=Natjecatelj [id=M14:5, godiste=14, spol=M, ukupanBrojBodova=37], redniBroj=4, vrijeme=101, brojBodova=25, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M14:13, godiste=14, spol=M, ukupanBrojBodova=32], redniBroj=10, vrijeme=207, brojBodova=20, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M14:2, godiste=14, spol=M, ukupanBrojBodova=40], redniBroj=2, vrijeme=235, brojBodova=15, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M14:18, godiste=14, spol=M, ukupanBrojBodova=46], redniBroj=12, vrijeme=259, brojBodova=12, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M14:7, godiste=14, spol=M, ukupanBrojBodova=41], redniBroj=5, vrijeme=277, brojBodova=10, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M14:1, godiste=14, spol=M, ukupanBrojBodova=16], redniBroj=1, vrijeme=406, brojBodova=8, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M14:11, godiste=14, spol=M, ukupanBrojBodova=41], redniBroj=8, vrijeme=721, brojBodova=6, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M14:8, godiste=14, spol=M, ukupanBrojBodova=19], redniBroj=6, vrijeme=792, brojBodova=4, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M14:17, godiste=14, spol=M, ukupanBrojBodova=15], redniBroj=11, vrijeme=803, brojBodova=2, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M14:4, godiste=14, spol=M, ukupanBrojBodova=2], redniBroj=3, vrijeme=981, brojBodova=1, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M14:10, godiste=14, spol=M, ukupanBrojBodova=32], redniBroj=7, vrijeme=989, brojBodova=0, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M14:5, godiste=14, spol=M, ukupanBrojBodova=37], redniBroj=2, vrijeme=12, brojBodova=0, diskvalificiran=true]
Rezultat [natjecatelj=Natjecatelj [id=M14:7, godiste=14, spol=M, ukupanBrojBodova=41], redniBroj=4, vrijeme=224, brojBodova=25, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M14:18, godiste=14, spol=M, ukupanBrojBodova=46], redniBroj=8, vrijeme=351, brojBodova=20, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M14:19, godiste=14, spol=M, ukupanBrojBodova=45], redniBroj=9, vrijeme=449, brojBodova=15, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M14:10, godiste=14, spol=M, ukupanBrojBodova=32], redniBroj=5, vrijeme=531, brojBodova=12, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M14:20, godiste=14, spol=M, ukupanBrojBodova=31], redniBroj=10, vrijeme=535, brojBodova=10, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M14:1, godiste=14, spol=M, ukupanBrojBodova=16], redniBroj=1, vrijeme=777, brojBodova=8, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M14:15, godiste=14, spol=M, ukupanBrojBodova=6], redniBroj=6, vrijeme=796, brojBodova=6, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M14:6, godiste=14, spol=M, ukupanBrojBodova=28], redniBroj=3, vrijeme=897, brojBodova=4, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M14:16, godiste=14, spol=M, ukupanBrojBodova=45], redniBroj=7, vrijeme=947, brojBodova=2, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M18:27, godiste=18, spol=M, ukupanBrojBodova=81], redniBroj=12, vrijeme=102, brojBodova=25, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M18:24, godiste=18, spol=M, ukupanBrojBodova=33], redniBroj=11, vrijeme=189, brojBodova=20, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M18:39, godiste=18, spol=M, ukupanBrojBodova=45], redniBroj=16, vrijeme=394, brojBodova=15, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M18:34, godiste=18, spol=M, ukupanBrojBodova=14], redniBroj=15, vrijeme=547, brojBodova=12, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M18:28, godiste=18, spol=M, ukupanBrojBodova=10], redniBroj=13, vrijeme=844, brojBodova=10, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M18:29, godiste=18, spol=M, ukupanBrojBodova=28], redniBroj=14, vrijeme=925, brojBodova=8, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M18:40, godiste=18, spol=M, ukupanBrojBodova=22], redniBroj=17, vrijeme=952, brojBodova=6, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M18:35, godiste=18, spol=M, ukupanBrojBodova=8], redniBroj=22, vrijeme=8, brojBodova=0, diskvalificiran=true]
Rezultat [natjecatelj=Natjecatelj [id=M18:23, godiste=18, spol=M, ukupanBrojBodova=17], redniBroj=15, vrijeme=18, brojBodova=0, diskvalificiran=true]
Rezultat [natjecatelj=Natjecatelj [id=M18:22, godiste=18, spol=M, ukupanBrojBodova=57], redniBroj=14, vrijeme=140, brojBodova=25, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M18:21, godiste=18, spol=M, ukupanBrojBodova=20], redniBroj=13, vrijeme=189, brojBodova=20, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M18:40, godiste=18, spol=M, ukupanBrojBodova=22], redniBroj=24, vrijeme=290, brojBodova=15, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M18:26, godiste=18, spol=M, ukupanBrojBodova=18], redniBroj=16, vrijeme=514, brojBodova=12, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M18:39, godiste=18, spol=M, ukupanBrojBodova=45], redniBroj=23, vrijeme=763, brojBodova=10, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M18:29, godiste=18, spol=M, ukupanBrojBodova=28], redniBroj=18, vrijeme=805, brojBodova=8, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M18:27, godiste=18, spol=M, ukupanBrojBodova=81], redniBroj=17, vrijeme=837, brojBodova=6, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M18:32, godiste=18, spol=M, ukupanBrojBodova=32], redniBroj=20, vrijeme=840, brojBodova=4, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M18:34, godiste=18, spol=M, ukupanBrojBodova=14], redniBroj=21, vrijeme=942, brojBodova=2, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M18:30, godiste=18, spol=M, ukupanBrojBodova=13], redniBroj=19, vrijeme=972, brojBodova=1, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M18:34, godiste=18, spol=M, ukupanBrojBodova=14], redniBroj=18, vrijeme=77, brojBodova=0, diskvalificiran=true]
Rezultat [natjecatelj=Natjecatelj [id=M18:27, godiste=18, spol=M, ukupanBrojBodova=81], redniBroj=15, vrijeme=104, brojBodova=25, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M18:39, godiste=18, spol=M, ukupanBrojBodova=45], redniBroj=23, vrijeme=252, brojBodova=20, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M18:36, godiste=18, spol=M, ukupanBrojBodova=15], redniBroj=20, vrijeme=336, brojBodova=15, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M18:24, godiste=18, spol=M, ukupanBrojBodova=33], redniBroj=14, vrijeme=707, brojBodova=12, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M18:32, godiste=18, spol=M, ukupanBrojBodova=32], redniBroj=17, vrijeme=727, brojBodova=10, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M18:35, godiste=18, spol=M, ukupanBrojBodova=8], redniBroj=19, vrijeme=756, brojBodova=8, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M18:22, godiste=18, spol=M, ukupanBrojBodova=57], redniBroj=13, vrijeme=784, brojBodova=6, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M18:38, godiste=18, spol=M, ukupanBrojBodova=49], redniBroj=22, vrijeme=828, brojBodova=4, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M18:37, godiste=18, spol=M, ukupanBrojBodova=12], redniBroj=21, vrijeme=837, brojBodova=2, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M18:40, godiste=18, spol=M, ukupanBrojBodova=22], redniBroj=24, vrijeme=955, brojBodova=1, diskvalificiran=false]
